year,brand,model,mileage,condition,body_type,color,drive_type,fuel,drive_setup,transmission,interior_type,door_count,star,review_no,date_posted,price
2008,acura,mdx,,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-05-07,3000000
2010,toyota,highlander,,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,8,2020-05-07,5000000
2011,toyota,venza,,foreign used,4 wheel drives & suvs,brown,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,3,2020-05-07,5000000
2006,toyota,corolla,,foreign used,saloons,red,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,42,2020-05-07,2200000
2008,acura,mdx,,foreign used,4 wheel drives & suvs,grey,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-06-13,3200000
2012,acura,mdx,,foreign used,4 wheel drives & suvs,black,na,petrol,na,automatic,leather,NA,5,1,2020-06-13,6200000
2006,acura,mdx,,foreign used,4 wheel drives & suvs,grey,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-06-13,2200000
2006,acura,mdx,,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-06-13,2000000
2008,acura,mdx,,foreign used,4 wheel drives & suvs,white,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-06-13,3000000
2008,acura,mdx,,foreign used,4 wheel drives & suvs,white,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-06-13,3000000
2011,mercedes-benz,ml350,,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-06-13,4500000
2006,toyota,corolla,,foreign used,saloons,red,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,42,2020-06-13,2200000
2006,acura,mdx,,foreign used,4 wheel drives & suvs,red,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-05-07,2000000
2012,acura,zdx,,foreign used,4 wheel drives & suvs,black,2 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-05-07,8000000
2008,acura,mdx,,foreign used,4 wheel drives & suvs,silver,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-06-13,2800000
2009,acura,mdx,,foreign used,4 wheel drives & suvs,silver,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-06-13,2800000
2009,acura,mdx,,foreign used,4 wheel drives & suvs,maroon,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-06-13,3200000
2009,acura,mdx,,foreign used,4 wheel drives & suvs,dark blue,4 wheel drive,diesel,lefthand drive,automatic,leather,4,5,1,2020-06-13,2800000
2008,acura,mdx,,foreign used,4 wheel drives & suvs,grey,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-06-13,2800000
2008,lexus,es,,foreign used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,6,2020-06-13,2700000
2011,mercedes-benz,ml350,,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-06-13,4500000
2007,lexus,gx,,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,4,1,2020-06-13,5000000
2011,lexus,gx,,foreign used,4 wheel drives & suvs,grey,4 wheel drive,petrol,lefthand drive,automatic,leather,4,4,1,2020-06-13,11000000
2007,lexus,gx,,foreign used,4 wheel drives & suvs,silver,4 wheel drive,petrol,lefthand drive,automatic,leather,4,4,1,2020-06-13,5000000
2008,lexus,es,,foreign used,saloons,gold,na,petrol,na,automatic,leather,NA,5,6,2020-06-13,3000000
2007,lexus,gx,,foreign used,4 wheel drives & suvs,black,na,petrol,na,automatic,leather,NA,4,1,2020-06-13,5000000
2008,hyundai,sonata,,locally used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-06-09,1180000
1999,toyota,camry,,locally used,saloons,green,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,56,2020-06-03,590000
2009,toyota,highlander,,locally used,4 wheel drives & suvs,grey,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,8,2020-06-03,2680000
1999,honda,cr-v,,locally used,4 wheel drives & suvs,silver,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,6,2020-06-04,590000
1997,honda,odyssey,,locally used,"buses, taxis and vans",other,4 wheel drive,petrol,lefthand drive,manual,leather,4,5,3,2020-06-04,550000
2008,toyota,highlander,,locally used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,8,2020-06-18,2800000
2008,acura,mdx,,locally used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-06-18,1750000
2007,toyota,yaris,,locally used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,2,2020-06-13,1000000
2012,hyundai,ix35,,locally used,4 wheel drives & suvs,grey,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,0,0,2020-06-16,2400000
2012,kia,soul,,locally used,4 wheel drives & suvs,white,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,4,1,2020-06-16,2300000
1999,toyota,camry,,locally used,saloons,silver,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,56,2020-06-13,680000
1999,toyota,camry,,locally used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,56,2020-06-13,630000
2010,honda,accord-crosstour,,locally used,4 wheel drives & suvs,silver,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-06-21,2400000
2008,honda,accord,,locally used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,37,2020-06-21,940000
2012,toyota,camry,69000,foreign used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,56,2020-07-05,3600000
2001,mitsubishi,montero,,locally used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-06-27,700000
2006,kia,sorento,,locally used,4 wheel drives & suvs,grey,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-06-23,890000
1999,lexus,rx,,locally used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-06-28,1250000
2003,nissan,frontier,,locally used,pickups,white,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,0,0,2020-06-28,950000
2008,toyota,camry,,locally used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,56,2020-07-05,1680000
2008,toyota,rav4,,locally used,4 wheel drives & suvs,dark grey,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,7,2020-07-05,1850000
2008,ford,edge,,locally used,4 wheel drives & suvs,silver,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-07-07,2850000
2009,toyota,camry,,locally used,saloons,silver,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,56,2020-07-07,1750000
2005,toyota,sienna,,locally used,"buses, taxis and vans",green,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,4,4,2020-07-07,1450000
2004,toyota,matrix,,locally used,hatchbacks,silver,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,4,3,2020-07-07,1350000
2006,toyota,sienna,,locally used,"buses, taxis and vans",green,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,4,4,2020-07-07,1400000
2008,toyota,highlander,,locally used,4 wheel drives & suvs,silver,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,8,2020-07-07,2600000
2009,toyota,rav4,,locally used,4 wheel drives & suvs,gold,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,7,2020-07-29,2450000
2009,toyota,camry,,locally used,saloons,gold,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,56,2020-07-29,2300000
2004,toyota,4-runner,,locally used,4 wheel drives & suvs,grey,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,7,2020-07-09,840000
2007,honda,civic,89000,locally used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,19,2020-07-29,890000
2004,toyota,corolla,,locally used,saloons,grey,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,42,2020-07-29,1350000
2008,toyota,sienna,,locally used,"buses, taxis and vans",silver,4 wheel drive,petrol,lefthand drive,automatic,leather,4,4,4,2020-07-29,1480000
2002,toyota,4-runner,,locally used,4 wheel drives & suvs,silver,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,7,2020-07-29,950000
2013,ford,edge,,locally used,4 wheel drives & suvs,silver,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,1,2020-07-29,2750000
